s_indoor,s_outdoor,s_tod,s_occ,s_price,action,reward,s2_indoor,s2_outdoor,s2_tod,s2_occ,s2_price,done
23.229408,11.345526,21.0,22.0,0.18437181,0,-0.0652548640966415,22.831224,11.345526,21.25,20.0,0.15254864,0
22.831224,11.345526,21.25,20.0,0.15254864,0,-0.0636718869209289,22.434036,11.345526,21.5,23.0,0.13671887,0
22.434036,11.345526,21.5,23.0,0.13671887,0,-0.0560422345995903,22.01349,11.345526,21.75,18.0,0.060422346,0
22.01349,11.345526,21.75,18.0,0.060422346,0,-0.0526867862790823,21.689701,11.345526,22.0,18.0,0.026867863,0
21.689701,11.345526,22.0,18.0,0.026867863,0,-0.0603469520807266,21.372505,11.345526,22.25,14.0,0.10346952,0
21.372505,11.345526,22.25,14.0,0.10346952,0,-0.0824734345078468,20.988157,11.345526,22.5,15.0,0.08787978,0
20.988157,11.345526,22.5,15.0,0.08787978,0,-0.7171024084091187,20.672913,11.345526,22.75,18.0,0.12927584,0
20.672913,11.345526,22.75,18.0,0.12927584,0,-1.2013131380081177,20.433624,11.345526,23.0,15.0,0.18561618,0
20.433624,11.345526,23.0,15.0,0.18561618,0,-1.7410553693771362,20.166958,11.345526,23.25,13.0,0.24971129,0
20.166958,11.345526,23.25,13.0,0.24971129,0,-2.217761516571045,19.929586,11.345526,23.5,8.0,0.26934233,0
19.929586,11.345526,23.5,8.0,0.26934233,0,-2.7695059776306152,19.650639,11.345526,23.75,8.0,0.20783073,0
19.650639,11.345526,23.75,8.0,0.20783073,0,-3.1665360927581787,19.446693,11.345526,0.0,13.0,0.09922853,0
19.446693,11.345526,0.0,13.0,0.09922853,0,-3.717966079711914,19.173128,11.345526,0.25,13.0,0.14222258,0
19.173128,11.345526,0.25,13.0,0.14222258,0,-4.02952766418457,19.01983,11.345526,0.5,11.0,0.19188878,0
19.01983,11.345526,0.5,11.0,0.19188878,0,-4.519801616668701,18.77154,11.345526,0.75,11.0,0.12880877,0
18.77154,11.345526,0.75,11.0,0.12880877,0,-4.818629264831543,18.621735,11.345526,1.0,6.0,0.120985,0
18.621735,11.345526,1.0,6.0,0.120985,0,-5.313317775726318,18.374237,11.345526,1.25,8.0,0.117916934,0
18.374237,11.345526,1.25,8.0,0.117916934,0,-5.7669172286987305,18.153162,11.345526,1.5,6.0,0.23241243,0
18.153162,11.345526,1.5,6.0,0.23241243,0,-6.219640731811523,17.92687,11.345526,1.75,10.0,0.23381492,0
17.92687,11.345526,1.75,10.0,0.23381492,0,-6.575225830078125,17.749216,11.345526,2.0,6.0,0.23658222,0
17.749216,11.345526,2.0,6.0,0.23658222,0,-6.959442138671875,17.554953,11.345526,2.25,4.0,0.1934742,0
17.554953,11.345526,2.25,4.0,0.1934742,0,-7.43028450012207,17.320072,11.345526,2.5,3.0,0.20428954,0
17.320072,11.345526,2.5,3.0,0.20428954,0,-7.6290106773376465,17.220564,11.345526,2.75,1.0,0.20138386,0
17.220564,11.345526,2.75,1.0,0.20138386,2,-9.174139976501465,16.749657,11.345526,3.0,1.0,0.17345311,0
16.749657,11.345526,3.0,1.0,0.17345311,2,-9.974385261535645,16.313627,11.345526,3.25,0.0,0.10163962,0
16.313627,11.345526,3.25,0.0,0.10163962,2,-10.656634330749512,15.983478,11.345526,3.5,0.0,0.12358962,0
15.983478,11.345526,3.5,0.0,0.12358962,2,-11.500370025634766,15.565996,11.345526,3.75,3.0,0.13236262,0
15.565996,11.345526,3.75,3.0,0.13236262,0,-11.096078872680664,15.483049,11.345526,4.0,3.0,0.121780746,0
15.483049,11.345526,4.0,3.0,0.121780746,0,-11.18103313446045,15.444371,11.345526,4.25,8.0,0.19775695,0
15.444371,11.345526,4.25,8.0,0.19775695,0,-11.11928367614746,15.474624,11.345526,4.5,8.0,0.18531401,0
15.474624,11.345526,4.5,8.0,0.18531401,0,-11.282811164855955,15.393181,11.345526,4.75,8.0,0.19173117,0
15.393181,11.345526,4.75,8.0,0.19173117,0,-11.457897186279297,15.304087,11.345526,5.0,3.0,0.1607074,0
15.304087,11.345526,5.0,3.0,0.1607074,0,-11.471295356750488,15.296822,11.345526,5.25,1.0,0.14938235,0
15.296822,11.345526,5.25,1.0,0.14938235,0,-11.629805564880373,15.216858,11.345526,5.5,5.0,0.13521379,0
15.216858,11.345526,5.5,5.0,0.13521379,0,-11.818565368652344,15.123534,11.345526,5.75,3.0,0.156336,0
15.123534,11.345526,5.75,3.0,0.156336,0,-11.910674095153809,15.080566,11.345526,6.0,6.0,0.21806487,0
15.080566,11.345526,6.0,6.0,0.21806487,0,-11.96834659576416,15.051358,11.345526,6.25,1.0,0.210627,0
15.051358,11.345526,6.25,1.0,0.210627,0,-11.901250839233398,15.08185,11.345526,6.5,0.0,0.14950973,0
15.08185,11.345526,6.5,0.0,0.14950973,1,-12.447538375854492,14.879854,11.345526,6.75,1.0,0.1908234,0
14.879854,11.345526,6.75,1.0,0.1908234,0,-12.275197982788086,14.895653,11.345526,7.0,2.0,0.16503502,0
14.895653,11.345526,7.0,2.0,0.16503502,0,-12.157483100891112,14.951052,11.345526,7.25,2.0,0.095866166,0
14.951052,11.345526,7.25,2.0,0.095866166,0,-12.24795627593994,14.906715,11.345526,7.5,4.0,0.11386719,0
