dataset,column,rows,missing_%,min,max,mean,std,outliers,outlier_%
random,action,10000,0.0,0.0,2.0,0.9981,0.8179,0,0.0
ppo,action,10000,0.0,0.0,2.0,0.0791,0.3584,513,5.13
random,done,10000,0.0,0.0,1.0,0.0104,0.1015,104,1.04
ppo,done,10000,0.0,0.0,1.0,0.0104,0.1015,104,1.04
random,reward,10000,0.0,-7.0007,-0.05,-2.014,1.571,0,0.0
ppo,reward,10000,0.0,-28.0669,-0.05,-8.2234,7.3419,0,0.0
random,s2_indoor,10000,0.0,14.1189,30.9297,21.8784,3.2746,0,0.0
ppo,s2_indoor,10000,0.0,11.8911,37.9928,24.3724,6.3612,0,0.0
random,s2_occ,10000,0.0,0.0,100.0,49.3432,29.4805,0,0.0
ppo,s2_occ,10000,0.0,0.0,100.0,49.866,29.3249,0,0.0
random,s2_outdoor,10000,0.0,8.7302,36.0765,21.0452,7.4109,0,0.0
ppo,s2_outdoor,10000,0.0,10.0654,34.8873,22.0588,7.6692,0,0.0
random,s2_price,10000,0.0,0.0,1.0,0.5339,0.2959,0,0.0
ppo,s2_price,10000,0.0,0.0,1.0,0.5007,0.3063,0,0.0
random,s2_tod,10000,0.0,0.0,23.75,11.8802,6.924,0,0.0
ppo,s2_tod,10000,0.0,0.0,23.75,11.861,6.9316,0,0.0
random,s_indoor,10000,0.0,14.1189,30.9297,21.8856,3.2582,0,0.0
ppo,s_indoor,10000,0.0,11.8911,37.9928,24.3477,6.3195,0,0.0
random,s_occ,10000,0.0,0.0,100.0,49.3313,29.4378,0,0.0
ppo,s_occ,10000,0.0,0.0,100.0,49.8824,29.3222,0,0.0
random,s_outdoor,10000,0.0,8.7302,36.0765,21.0449,7.4108,0,0.0
ppo,s_outdoor,10000,0.0,10.0654,34.8873,22.0588,7.6692,0,0.0
random,s_price,10000,0.0,0.0,1.0,0.5338,0.2954,0,0.0
ppo,s_price,10000,0.0,0.0,1.0,0.5012,0.3062,0,0.0
random,s_tod,10000,0.0,0.0,23.75,11.8798,6.9238,0,0.0
ppo,s_tod,10000,0.0,0.0,23.75,11.8606,6.9321,0,0.0
